epoch=68 env_step=136000 gradient_step=8500 train_rew=-0.315981 train_len=26 n_ep=0 n_st=16 loss=0.001855 loss_clip=-0.000371 loss_ent=0.972817 loss_vf=0.006399 test_reward=-0.249135 test_reward_std=0.132558 best_reward=-0.211170 best_reward_std=0.211029 best_epoch=64
epoch=69 env_step=138000 gradient_step=8625 train_rew=-0.193097 train_len=27 n_ep=0 n_st=16 loss=0.008455 loss_clip=0.001306 loss_ent=0.878334 loss_vf=0.016054 test_reward=-0.188776 test_reward_std=0.111698 best_reward=-0.188776 best_reward_std=0.111698 best_epoch=69
epoch=70 env_step=140000 gradient_step=8750 train_rew=-0.132327 train_len=16 n_ep=1 n_st=16 loss=0.002112 loss_clip=-0.001905 loss_ent=0.847711 loss_vf=0.009729 test_reward=-0.312144 test_reward_std=0.203823 best_reward=-0.188776 best_reward_std=0.111698 best_epoch=69
epoch=71 env_step=142000 gradient_step=8875 train_rew=-0.248931 train_len=30 n_ep=1 n_st=16 loss=0.001078 loss_clip=-0.000864 loss_ent=0.861333 loss_vf=0.005608 test_reward=-0.283651 test_reward_std=0.236761 best_reward=-0.188776 best_reward_std=0.111698 best_epoch=69
epoch=72 env_step=144000 gradient_step=9000 train_rew=-0.486467 train_len=23 n_ep=1 n_st=16 loss=0.000973 loss_clip=0.000090 loss_ent=0.913892 loss_vf=0.003593 test_reward=-0.207249 test_reward_std=0.179693 best_reward=-0.188776 best_reward_std=0.111698 best_epoch=69
epoch=73 env_step=146000 gradient_step=9125 train_rew=-0.169863 train_len=11 n_ep=1 n_st=16 loss=0.004700 loss_clip=0.000978 loss_ent=0.931724 loss_vf=0.009307 test_reward=-0.228379 test_reward_std=0.079979 best_reward=-0.188776 best_reward_std=0.111698 best_epoch=69
epoch=74 env_step=148000 gradient_step=9250 train_rew=-0.092886 train_len=20 n_ep=1 n_st=16 loss=0.004097 loss_clip=0.001701 loss_ent=0.896778 loss_vf=0.006587 test_reward=-0.320346 test_reward_std=0.171704 best_reward=-0.188776 best_reward_std=0.111698 best_epoch=69
epoch=75 env_step=150000 gradient_step=9375 train_rew=-0.334846 train_len=16 n_ep=2 n_st=16 loss=0.001587 loss_clip=0.000343 loss_ent=0.895332 loss_vf=0.004279 test_reward=-0.191377 test_reward_std=0.207428 best_reward=-0.188776 best_reward_std=0.111698 best_epoch=69
epoch=76 env_step=152000 gradient_step=9500 train_rew=-0.072504 train_len=25 n_ep=1 n_st=16 loss=0.003547 loss_clip=0.002489 loss_ent=0.890859 loss_vf=0.003897 test_reward=-0.267446 test_reward_std=0.186781 best_reward=-0.188776 best_reward_std=0.111698 best_epoch=69
epoch=77 env_step=154000 gradient_step=9625 train_rew=-0.109566 train_len=25 n_ep=1 n_st=16 loss=0.001227 loss_clip=0.000327 loss_ent=0.899930 loss_vf=0.003599 test_reward=-0.285660 test_reward_std=0.144204 best_reward=-0.188776 best_reward_std=0.111698 best_epoch=69
epoch=78 env_step=156000 gradient_step=9750 train_rew=-0.368643 train_len=17 n_ep=1 n_st=16 loss=0.001209 loss_clip=-0.000375 loss_ent=0.939410 loss_vf=0.005046 test_reward=-0.287592 test_reward_std=0.158707 best_reward=-0.188776 best_reward_std=0.111698 best_epoch=69
epoch=79 env_step=158000 gradient_step=9875 train_rew=-0.159810 train_len=19 n_ep=1 n_st=16 loss=0.000507 loss_clip=-0.000337 loss_ent=0.885117 loss_vf=0.003460 test_reward=-0.317750 test_reward_std=0.121425 best_reward=-0.188776 best_reward_std=0.111698 best_epoch=69
epoch=80 env_step=160000 gradient_step=10000 train_rew=-0.179015 train_len=18 n_ep=0 n_st=16 loss=0.000310 loss_clip=-0.000960 loss_ent=0.881456 loss_vf=0.004302 test_reward=-0.259652 test_reward_std=0.183821 best_reward=-0.188776 best_reward_std=0.111698 best_epoch=69
