epoch=73 env_step=146000 gradient_step=9125 train_rew=0.610000 train_len=26 n_ep=0 n_st=16 loss=0.002306 loss_clip=-0.000473 loss_ent=0.774530 loss_vf=0.007107 test_reward=0.630100 test_reward_std=0.093778 best_reward=0.693000 best_reward_std=0.041929 best_epoch=46
epoch=74 env_step=148000 gradient_step=9250 train_rew=0.810000 train_len=34 n_ep=1 n_st=16 loss=0.002183 loss_clip=0.001244 loss_ent=0.751882 loss_vf=0.003382 test_reward=0.654000 test_reward_std=0.076997 best_reward=0.693000 best_reward_std=0.041929 best_epoch=46
epoch=75 env_step=150000 gradient_step=9375 train_rew=0.598000 train_len=22 n_ep=1 n_st=16 loss=0.001964 loss_clip=0.000588 loss_ent=0.797500 loss_vf=0.004347 test_reward=0.650100 test_reward_std=0.075376 best_reward=0.693000 best_reward_std=0.041929 best_epoch=46
epoch=76 env_step=152000 gradient_step=9500 train_rew=0.639500 train_len=21 n_ep=0 n_st=16 loss=0.001536 loss_clip=0.000601 loss_ent=0.757291 loss_vf=0.003385 test_reward=0.622700 test_reward_std=0.115914 best_reward=0.693000 best_reward_std=0.041929 best_epoch=46
epoch=77 env_step=154000 gradient_step=9625 train_rew=0.769000 train_len=35 n_ep=0 n_st=16 loss=0.001630 loss_clip=-0.001316 loss_ent=0.753625 loss_vf=0.007400 test_reward=0.672900 test_reward_std=0.076820 best_reward=0.693000 best_reward_std=0.041929 best_epoch=46
epoch=78 env_step=156000 gradient_step=9750 train_rew=0.748000 train_len=31 n_ep=0 n_st=16 loss=0.000966 loss_clip=0.000094 loss_ent=0.806043 loss_vf=0.003357 test_reward=0.681300 test_reward_std=0.074419 best_reward=0.693000 best_reward_std=0.041929 best_epoch=46
epoch=79 env_step=158000 gradient_step=9875 train_rew=0.637000 train_len=20 n_ep=1 n_st=16 loss=-0.000145 loss_clip=-0.001355 loss_ent=0.706890 loss_vf=0.003834 test_reward=0.672200 test_reward_std=0.084703 best_reward=0.693000 best_reward_std=0.041929 best_epoch=46
epoch=80 env_step=160000 gradient_step=10000 train_rew=0.607000 train_len=28 n_ep=1 n_st=16 loss=0.002243 loss_clip=-0.000564 loss_ent=0.730992 loss_vf=0.007077 test_reward=0.611100 test_reward_std=0.102444 best_reward=0.693000 best_reward_std=0.041929 best_epoch=46
epoch=81 env_step=162000 gradient_step=10125 train_rew=0.572500 train_len=23 n_ep=0 n_st=16 loss=0.000594 loss_clip=0.000180 loss_ent=0.746549 loss_vf=0.002322 test_reward=0.667100 test_reward_std=0.069572 best_reward=0.693000 best_reward_std=0.041929 best_epoch=46
epoch=82 env_step=164000 gradient_step=10250 train_rew=0.575000 train_len=23 n_ep=1 n_st=16 loss=0.000487 loss_clip=-0.000049 loss_ent=0.744155 loss_vf=0.002560 test_reward=0.597300 test_reward_std=0.104381 best_reward=0.693000 best_reward_std=0.041929 best_epoch=46
