epoch=67 env_step=2701440 gradient_step=21105 train_rew=-0.165455 train_len=16 n_ep=49 n_st=640 loss=-0.000569 loss_clip=-0.001569 loss_ent=0.502684 loss_vf=0.003004 test_reward=-0.137119 test_reward_std=0.124480 best_reward=-0.053153 best_reward_std=0.106305 best_epoch=58
epoch=68 env_step=2741760 gradient_step=21420 train_rew=-0.151121 train_len=15 n_ep=38 n_st=640 loss=-0.000184 loss_clip=-0.001625 loss_ent=0.376371 loss_vf=0.003634 test_reward=-0.173003 test_reward_std=0.109925 best_reward=-0.053153 best_reward_std=0.106305 best_epoch=58
epoch=69 env_step=2782080 gradient_step=21735 train_rew=-0.174961 train_len=13 n_ep=34 n_st=640 loss=0.003135 loss_clip=0.002278 loss_ent=0.401703 loss_vf=0.002517 test_reward=-0.125586 test_reward_std=0.173766 best_reward=-0.053153 best_reward_std=0.106305 best_epoch=58
epoch=70 env_step=2822400 gradient_step=22050 train_rew=-0.151956 train_len=15 n_ep=38 n_st=640 loss=-0.002811 loss_clip=-0.003644 loss_ent=0.379553 loss_vf=0.002426 test_reward=-0.240767 test_reward_std=0.207630 best_reward=-0.053153 best_reward_std=0.106305 best_epoch=58
epoch=71 env_step=2862720 gradient_step=22365 train_rew=-0.147028 train_len=15 n_ep=47 n_st=640 loss=0.002088 loss_clip=0.001221 loss_ent=0.369637 loss_vf=0.002472 test_reward=-0.248758 test_reward_std=0.139502 best_reward=-0.053153 best_reward_std=0.106305 best_epoch=58
epoch=72 env_step=2903040 gradient_step=22680 train_rew=-0.131001 train_len=16 n_ep=45 n_st=640 loss=0.009726 loss_clip=0.008686 loss_ent=0.329470 loss_vf=0.002738 test_reward=-0.150998 test_reward_std=0.133001 best_reward=-0.053153 best_reward_std=0.106305 best_epoch=58
epoch=73 env_step=2943360 gradient_step=22995 train_rew=-0.150778 train_len=16 n_ep=37 n_st=640 loss=-0.000700 loss_clip=-0.001615 loss_ent=0.323830 loss_vf=0.002479 test_reward=-0.145849 test_reward_std=0.124402 best_reward=-0.053153 best_reward_std=0.106305 best_epoch=58
epoch=74 env_step=2983680 gradient_step=23310 train_rew=-0.165168 train_len=16 n_ep=44 n_st=640 loss=0.005077 loss_clip=0.004152 loss_ent=0.366527 loss_vf=0.002582 test_reward=-0.108468 test_reward_std=0.161288 best_reward=-0.053153 best_reward_std=0.106305 best_epoch=58
epoch=75 env_step=3024000 gradient_step=23625 train_rew=-0.159256 train_len=15 n_ep=36 n_st=640 loss=0.006976 loss_clip=0.005731 loss_ent=0.284836 loss_vf=0.003061 test_reward=-0.129781 test_reward_std=0.105264 best_reward=-0.053153 best_reward_std=0.106305 best_epoch=58
epoch=76 env_step=3064320 gradient_step=23940 train_rew=-0.143593 train_len=15 n_ep=38 n_st=640 loss=0.007218 loss_clip=0.006335 loss_ent=0.335077 loss_vf=0.002436 test_reward=-0.113862 test_reward_std=0.164431 best_reward=-0.053153 best_reward_std=0.106305 best_epoch=58
epoch=77 env_step=3104640 gradient_step=24255 train_rew=-0.174174 train_len=14 n_ep=37 n_st=640 loss=-0.010167 loss_clip=-0.011310 loss_ent=0.387804 loss_vf=0.003061 test_reward=-0.103296 test_reward_std=0.097797 best_reward=-0.053153 best_reward_std=0.106305 best_epoch=58
epoch=78 env_step=3144960 gradient_step=24570 train_rew=-0.151729 train_len=16 n_ep=27 n_st=640 loss=0.006632 loss_clip=0.005643 loss_ent=0.434612 loss_vf=0.002847 test_reward=-0.185679 test_reward_std=0.103638 best_reward=-0.053153 best_reward_std=0.106305 best_epoch=58
epoch=79 env_step=3185280 gradient_step=24885 train_rew=-0.149432 train_len=15 n_ep=42 n_st=640 loss=0.003138 loss_clip=0.002404 loss_ent=0.420395 loss_vf=0.002308 test_reward=-0.246339 test_reward_std=0.140813 best_reward=-0.053153 best_reward_std=0.106305 best_epoch=58
epoch=80 env_step=3225600 gradient_step=25200 train_rew=-0.184818 train_len=13 n_ep=41 n_st=640 loss=0.002797 loss_clip=0.001964 loss_ent=0.429293 loss_vf=0.002523 test_reward=-0.141101 test_reward_std=0.088291 best_reward=-0.053153 best_reward_std=0.106305 best_epoch=58
epoch=81 env_step=3265920 gradient_step=25515 train_rew=-0.158395 train_len=15 n_ep=38 n_st=640 loss=-0.015734 loss_clip=-0.018452 loss_ent=0.362278 loss_vf=0.006162 test_reward=-0.238262 test_reward_std=0.117336 best_reward=-0.053153 best_reward_std=0.106305 best_epoch=58
epoch=82 env_step=3306240 gradient_step=25830 train_rew=-0.184990 train_len=14 n_ep=39 n_st=640 loss=0.000612 loss_clip=-0.000180 loss_ent=0.400718 loss_vf=0.002385 test_reward=-0.153082 test_reward_std=0.116864 best_reward=-0.053153 best_reward_std=0.106305 best_epoch=58
epoch=83 env_step=3346560 gradient_step=26145 train_rew=-0.098654 train_len=16 n_ep=41 n_st=640 loss=0.001478 loss_clip=0.000511 loss_ent=0.411118 loss_vf=0.002757 test_reward=-0.206054 test_reward_std=0.150755 best_reward=-0.053153 best_reward_std=0.106305 best_epoch=58
epoch=84 env_step=3386880 gradient_step=26460 train_rew=-0.139807 train_len=16 n_ep=36 n_st=640 loss=-0.011405 loss_clip=-0.012393 loss_ent=0.440518 loss_vf=0.002857 test_reward=-0.112721 test_reward_std=0.110622 best_reward=-0.053153 best_reward_std=0.106305 best_epoch=58
epoch=85 env_step=3427200 gradient_step=26775 train_rew=-0.156641 train_len=14 n_ep=49 n_st=640 loss=-0.004528 loss_clip=-0.005405 loss_ent=0.462557 loss_vf=0.002679 test_reward=-0.134356 test_reward_std=0.137447 best_reward=-0.053153 best_reward_std=0.106305 best_epoch=58
epoch=86 env_step=3467520 gradient_step=27090 train_rew=-0.162020 train_len=16 n_ep=37 n_st=640 loss=-0.001663 loss_clip=-0.002671 loss_ent=0.406406 loss_vf=0.002829 test_reward=-0.108344 test_reward_std=0.096141 best_reward=-0.053153 best_reward_std=0.106305 best_epoch=58
epoch=87 env_step=3507840 gradient_step=27405 train_rew=-0.139265 train_len=15 n_ep=37 n_st=640 loss=0.003736 loss_clip=0.003020 loss_ent=0.435394 loss_vf=0.002303 test_reward=-0.147987 test_reward_std=0.142668 best_reward=-0.053153 best_reward_std=0.106305 best_epoch=58
epoch=88 env_step=3548160 gradient_step=27720 train_rew=-0.147234 train_len=15 n_ep=37 n_st=640 loss=0.002645 loss_clip=0.001686 loss_ent=0.389394 loss_vf=0.002697 test_reward=-0.078504 test_reward_std=0.126840 best_reward=-0.053153 best_reward_std=0.106305 best_epoch=58
epoch=89 env_step=3588480 gradient_step=28035 train_rew=-0.148014 train_len=16 n_ep=42 n_st=640 loss=-0.001043 loss_clip=-0.001795 loss_ent=0.435446 loss_vf=0.002374 test_reward=-0.176760 test_reward_std=0.130115 best_reward=-0.053153 best_reward_std=0.106305 best_epoch=58
epoch=90 env_step=3628800 gradient_step=28350 train_rew=-0.116611 train_len=14 n_ep=40 n_st=640 loss=-0.006586 loss_clip=-0.007428 loss_ent=0.479599 loss_vf=0.002642 test_reward=-0.051714 test_reward_std=0.168082 best_reward=-0.051714 best_reward_std=0.168082 best_epoch=90
epoch=91 env_step=3669120 gradient_step=28665 train_rew=-0.123912 train_len=15 n_ep=33 n_st=640 loss=0.001237 loss_clip=0.000370 loss_ent=0.376017 loss_vf=0.002486 test_reward=-0.126563 test_reward_std=0.161343 best_reward=-0.051714 best_reward_std=0.168082 best_epoch=90
epoch=92 env_step=3709440 gradient_step=28980 train_rew=-0.156790 train_len=15 n_ep=42 n_st=640 loss=0.007056 loss_clip=0.006239 loss_ent=0.407899 loss_vf=0.002450 test_reward=-0.119039 test_reward_std=0.100965 best_reward=-0.051714 best_reward_std=0.168082 best_epoch=90
epoch=93 env_step=3749760 gradient_step=29295 train_rew=-0.173577 train_len=15 n_ep=39 n_st=640 loss=0.004125 loss_clip=0.003427 loss_ent=0.480021 loss_vf=0.002355 test_reward=-0.133516 test_reward_std=0.151396 best_reward=-0.051714 best_reward_std=0.168082 best_epoch=90
epoch=94 env_step=3790080 gradient_step=29610 train_rew=-0.188862 train_len=13 n_ep=36 n_st=640 loss=0.002121 loss_clip=0.001288 loss_ent=0.478270 loss_vf=0.002623 test_reward=-0.178295 test_reward_std=0.133951 best_reward=-0.051714 best_reward_std=0.168082 best_epoch=90
